<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19940524,000000,0.9611,0.9684,0.9376,0.9537,36417656,0
AAPL.US,D,19940525,000000,0.9376,0.9845,0.93,0.9684,39201408,0
AAPL.US,D,19940526,000000,0.9772,0.9772,0.9376,0.9449,21034509,0
AAPL.US,D,19940527,000000,0.9376,0.9537,0.9153,0.9288,31301777,0
AAPL.US,D,19940531,000000,0.9153,0.9153,0.8828,0.9064,74132022,0
AAPL.US,D,19940601,000000,0.8828,0.8879,0.8642,0.8753,111101281,0
AAPL.US,D,19940602,000000,0.8791,0.8828,0.8408,0.8484,110859346,0
AAPL.US,D,19940603,000000,0.8408,0.8682,0.8295,0.8567,101862993,0
AAPL.US,D,19940606,000000,0.8529,0.8605,0.837,0.8484,36298315,0
AAPL.US,D,19940607,000000,0.8448,0.8605,0.8448,0.8529,40391668,0
AAPL.US,D,19940608,000000,0.8529,0.8567,0.806,0.8098,78960829,0
AAPL.US,D,19940609,000000,0.7951,0.837,0.7913,0.837,84537996,0
AAPL.US,D,19940610,000000,0.8408,0.8484,0.8171,0.8211,41107765,0
AAPL.US,D,19940613,000000,0.8171,0.8422,0.8171,0.837,26756822,0
AAPL.US,D,19940614,000000,0.8448,0.8484,0.8258,0.8382,44455981,0
AAPL.US,D,19940615,000000,0.837,0.8682,0.8332,0.8631,45930119,0
AAPL.US,D,19940616,000000,0.8605,0.8605,0.8098,0.8171,62848683,0
AAPL.US,D,19940617,000000,0.806,0.8295,0.8023,0.8211,64655051,0
AAPL.US,D,19940620,000000,0.8136,0.8448,0.806,0.8408,57571514,0
AAPL.US,D,19940621,000000,0.8332,0.8448,0.7984,0.806,70064478,0
AAPL.US,D,19940622,000000,0.8136,0.8295,0.806,0.8136,32792022,0
AAPL.US,D,19940623,000000,0.8136,0.8136,0.7714,0.7789,58723062,0
AAPL.US,D,19940624,000000,0.7789,0.8098,0.7679,0.7939,84344453,0
AAPL.US,D,19940627,000000,0.7823,0.8136,0.7639,0.8136,73715919,0
AAPL.US,D,19940628,000000,0.8136,0.8408,0.7951,0.8295,50178298,0
AAPL.US,D,19940629,000000,0.8295,0.8408,0.8023,0.8098,39043338,0
AAPL.US,D,19940630,000000,0.8136,0.8332,0.8136,0.8211,29298623,0
AAPL.US,D,19940701,000000,0.8171,0.8211,0.786,0.7984,51633084,0
AAPL.US,D,19940705,000000,0.7951,0.8295,0.7951,0.8211,24724667,0
AAPL.US,D,19940706,000000,0.8136,0.8211,0.806,0.8098,28047088,0
AAPL.US,D,19940707,000000,0.8023,0.837,0.7913,0.8318,49004157,0
AAPL.US,D,19940708,000000,0.8211,0.8567,0.8211,0.8382,59971410,0
AAPL.US,D,19940711,000000,0.8408,0.8484,0.8258,0.837,30650186,0
AAPL.US,D,19940712,000000,0.837,0.8816,0.8171,0.8791,69787077,0
AAPL.US,D,19940713,000000,0.8828,0.9376,0.8828,0.92,129677829,0
AAPL.US,D,19940714,000000,0.9188,0.9224,0.8753,0.8879,52033049,0
AAPL.US,D,19940715,000000,0.8753,0.8879,0.8529,0.8753,27350337,0
AAPL.US,D,19940718,000000,0.872,0.899,0.8682,0.8791,22011878,0
AAPL.US,D,19940719,000000,0.8879,0.8917,0.8484,0.8581,33514562,0
AAPL.US,D,19940720,000000,0.8484,0.8567,0.8171,0.8258,62603534,0
AAPL.US,D,19940721,000000,0.8258,0.8828,0.8211,0.8682,83370306,0
